,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
ARHGAP23,23.3001510235706,1.07130370474426,0.156760252247007,6.83402641542197,8.25638115126503e-12,3.43259523060215e-10,upregulated
MS4A3,729.706554130281,1.0720157090646,0.240704108579315,4.45366601921278,8.44163780965683e-06,6.48597370249433e-05,upregulated
APOBEC3A_B,3595.97241309317,1.07203175475698,0.159507736567602,6.72087622723325,1.80634987444050e-11,6.90401495534564e-10,upregulated
ESRRG,6.32070781707083,1.07243986469321,0.322635872943728,3.32399449233056,0.000887379484102547,0.00328155412342113,upregulated
DGKB,8.47448908075235,1.07244738877986,0.197916875316476,5.41867583077484,6.00420710083507e-08,9.65931512325584e-07,upregulated
LRRC71,6.36120335294325,1.07273459045688,0.267696230584232,4.00728313624623,6.14212148444118e-05,0.000345640734488622,upregulated
PRAMEF19,1.2692224656134,1.07299665860306,0.748216340972728,1.43407274052328,0.151551505983349,0.23472288822741,notsignificant
ERICH2,3.14625113878374,1.07319999720307,0.293354244157536,3.65837555984615,0.00025381892816733,0.00113861159852187,upregulated
PRR20G,0.498463703736544,1.07438064211017,0.778662538254405,1.37977697568281,0.16765532382078,NA,notsignificant
MUC19,21.2605889092413,1.07454027398731,0.245708582530088,4.37323052749175,1.22421331515652e-05,8.94048198760553e-05,upregulated
SLC25A31,1.11489129032515,1.07467394896558,0.588020828373738,1.82761204554225,0.0676077967008776,0.122776685188577,notsignificant
OR11G2,2.42459080224628,1.07486985328999,0.421925867591617,2.54753248343228,0.0108487752412937,0.0268084628543267,upregulated
